filename,width,height,class,xmin,ymin,xmax,ymax
8844d2a5f8b522e2_jpg.rf.b8326445beda6ae1de129de89f6a20ee.jpg,320,320,Bicycle,98,90,175,220
8844d2a5f8b522e2_jpg.rf.b8326445beda6ae1de129de89f6a20ee.jpg,320,320,Person,107,170,151,266
8844d2a5f8b522e2_jpg.rf.b8326445beda6ae1de129de89f6a20ee.jpg,320,320,Person,312,1,320,36
a707aa106f417c79_jpg.rf.bb65a167ab4a0a441b1807738df27bca.jpg,320,320,Bird,214,176,293,236
96a2614cb8da3070_jpg.rf.bf47c3cf06083efb47350c5ce25c11f0.jpg,320,320,Bird,41,79,161,234
96a2614cb8da3070_jpg.rf.bf47c3cf06083efb47350c5ce25c11f0.jpg,320,320,Person,143,0,258,283
c85c1bfd3f5c37e4_jpg.rf.b7d90fae371ff0895419e22db556b875.jpg,320,320,Bicycle,140,41,167,142
fb252aab92dfb9f7_jpg.rf.b9973c354173c752aca1e04362518c5f.jpg,320,320,Apple,11,168,63,248
fb252aab92dfb9f7_jpg.rf.b9973c354173c752aca1e04362518c5f.jpg,320,320,Apple,0,0,320,320
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,82,190,103,230
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,6,118,21,141
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,18,52,31,63
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,33,2,51,27
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,40,74,46,83
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,41,44,52,62
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,54,88,62,99
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,58,53,70,76
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,59,223,70,237
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,77,117,91,127
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,85,149,101,168
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,92,272,104,284
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,94,44,97,52
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,107,74,110,84
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,107,160,128,186
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,108,146,113,156
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,142,65,153,75
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,145,207,159,221
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,145,276,155,293
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,147,102,162,118
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,153,261,165,278
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,153,82,165,96
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,158,166,168,176
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,166,41,189,71
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,177,63,191,90
723f2ef2b548b232_jpg.rf.c0dc5e2f92e8c4f14058c8d730dd35a7.jpg,320,320,Bird,193,124,203,133
